timestamp,user_email,log_type,action,details,status,failure_reason
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:07",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:07",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:07",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:06",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:06",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:06",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
timestamp,user_email,log_type,action,details,status,failure_reason
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:07",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:07",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:07",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:06",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:06",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:06",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
timestamp,user_email,log_type,action,details,status,failure_reason
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:07",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:07",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:07",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:06",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:06",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:06",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
timestamp,user_email,log_type,action,details,status,failure_reason
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:07",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:07",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:07",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:06",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:06",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:06",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
timestamp,user_email,log_type,action,details,status,failure_reason
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:07",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:07",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:07",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:07",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,login,"Super admin logged in",,Success,
"2025-09-20 20:29:06",jane.smith@plmun.edu.ph,create_course,"MIS Admin created a new course",,Success,
"2025-09-20 20:29:06",alice.johnson@plmun.edu.ph,grade_submission,"Professor graded student submission",,Success,
"2025-09-20 20:29:06",charlie.pogi@plmun.edu.ph,view_grades,"Student viewed their grades",,Success,
"2025-09-20 20:29:06",john.doe@plmun.edu.ph,system_backup,"System backup completed successfully",,Success,
